SPY from 2006-Sep-20 to 2011-Sep-20,,,,,
Date,Open,High,Low,Close,Volume
20/09/2006,132.25,132.77,132.06,132.51,75204100
21/09/2006,132.61,132.75,131.42,131.87,88932500
22/09/2006,131.67,131.68,131,131.47,65966800
25/09/2006,131.73,132.85,131.05,132.48,92297000
26/09/2006,132.5,133.6,132.4,133.58,73962700
27/09/2006,133.49,133.97,133.27,133.74,82432200
28/09/2006,133.74,133.99,133.28,133.69,58597500
29/09/2006,133.8,133.94,133.48,133.58,47966600
02/10/2006,133.54,133.83,132.95,133.08,51687400
03/10/2006,132.89,133.87,132.65,133.36,73108100
04/10/2006,133.23,135,133.08,134.92,80890500
05/10/2006,134.92,135.41,134.75,135.18,60505900
06/10/2006,134.95,135.1,134.4,135.01,64983600
09/10/2006,134.85,135.3,134.64,135.09,41176800
10/10/2006,135.1,135.45,134.84,135.27,56403700
11/10/2006,134.84,135.43,134.3,135.11,104071800
12/10/2006,135.45,136.39,135.4,136.28,59158600
13/10/2006,136.16,136.71,136.04,136.63,53944000
16/10/2006,136.52,137.05,136.42,136.84,42273000
17/10/2006,136.47,136.7,135.67,136.41,90500600
18/10/2006,137.04,137.37,136.1,136.59,86848600
19/10/2006,136.39,136.88,136.23,136.81,64063200
20/10/2006,136.84,136.95,136.33,136.84,48094500
23/10/2006,136.56,137.8,136.39,137.47,66219900
24/10/2006,137.28,137.93,137.22,137.88,53234900
25/10/2006,137.74,138.41,137.51,138.35,78105400
26/10/2006,138.66,139,137.98,138.78,66843700
27/10/2006,138.61,138.75,137.63,137.91,80238000
30/10/2006,137.66,138.2,137.4,137.81,49717800
31/10/2006,138.07,138.26,137.25,137.79,71274100
01/11/2006,138.22,138.31,136.72,136.86,83005600
02/11/2006,136.51,137.01,136.36,136.78,60693100
03/11/2006,137.27,137.39,135.62,136.54,71346400
06/11/2006,136.96,138.28,136.95,138.08,63303300
07/11/2006,138.2,138.98,138,138.61,63318900
08/11/2006,138,139.05,136.86,138.91,87517800
09/11/2006,139.01,139.14,137.9,138.18,95916300
10/11/2006,138.14,138.34,137.72,138.24,48991500
13/11/2006,138.18,139.04,138.07,138.58,59398200
14/11/2006,138.97,139.74,138.12,139.62,96704000
15/11/2006,139.57,140.45,139.53,140.02,76509600
16/11/2006,140.44,140.68,139.49,140.38,76728800
17/11/2006,139.93,140.43,139.73,140.42,56353800
20/11/2006,140.3,140.74,139.94,140.5,69174200
21/11/2006,140.49,140.67,140.29,140.64,51367900
22/11/2006,140.75,141.16,140.5,140.92,45505300
24/11/2006,140.24,140.84,140.2,140.35,30998000
27/11/2006,140.28,140.35,138.38,138.42,84545100
28/11/2006,138.24,139.16,138.11,139.02,106652900
29/11/2006,139.47,140.53,139.08,140.47,90034900
30/11/2006,140.44,141.05,139.76,140.53,83994300
01/12/2006,140.53,140.66,138.97,140.22,126080000
04/12/2006,140.25,141.55,140.23,141.29,87813200
05/12/2006,141.56,141.96,141.26,141.9,73374400
06/12/2006,141.87,142.07,141.5,141.78,53253200
07/12/2006,142.03,142.3,141.11,141.16,62825400
08/12/2006,141.13,141.9,140.78,141.42,79624600
11/12/2006,141.42,142.09,141.34,141.83,39779400
12/12/2006,141.69,141.87,140.89,141.72,77451600
13/12/2006,142.23,142.34,141.56,141.87,55520200
14/12/2006,141.86,143.24,141.84,143.12,64755200
15/12/2006,142.64,142.89,142.24,142.34,70857400
18/12/2006,142.54,142.88,141.75,141.95,48954600
19/12/2006,141.55,142.56,141.19,142.22,65023600
20/12/2006,142.28,142.66,142.01,142.14,41469600
21/12/2006,142.27,142.43,141.32,141.62,48698400
22/12/2006,141.64,141.65,140.67,140.75,62069100
26/12/2006,140.81,141.61,140.78,141.58,32696900
27/12/2006,141.87,142.6,141.83,142.51,39727100
28/12/2006,142.41,142.7,141.99,142.21,37288800
29/12/2006,142.06,142.54,141.43,141.62,45461200
03/01/2007,142.25,142.86,140.57,141.37,94807600
04/01/2007,141.23,142.05,140.61,141.67,69620600
05/01/2007,141.33,141.4,140.38,140.54,76645300
08/01/2007,140.82,141.41,140.25,141.19,71655000
09/01/2007,141.31,141.6,140.4,141.07,75680100
10/01/2007,140.58,141.57,140.3,141.54,72428000
11/01/2007,141.58,142.62,141.5,142.16,54476800
12/01/2007,142.15,143.24,142.11,143.24,55370600
16/01/2007,143.07,143.44,142.73,142.96,44871300
17/01/2007,142.85,143.46,142.73,143.02,50241400
18/01/2007,143.17,143.26,142.31,142.54,68177300
19/01/2007,142.54,143.1,142.46,142.82,56973000
22/01/2007,143.07,143.1,141.93,142.38,60253600
23/01/2007,142.26,143.08,142.06,142.8,54064400
24/01/2007,142.97,143.98,142.91,143.95,55834700
25/01/2007,143.86,143.92,142.01,142.26,73583800
26/01/2007,142.57,142.65,141.58,142.13,67255600
29/01/2007,142.19,142.8,141.74,142.05,66114600
30/01/2007,142.35,142.86,142.06,142.79,70407600
31/01/2007,142.63,144.13,142.4,143.75,91868600
01/02/2007,144.15,144.66,143.91,144.61,69312400
02/02/2007,144.73,144.95,144.38,144.81,49607000
05/02/2007,144.7,144.94,144.34,144.85,45705300
06/02/2007,144.97,145.03,144.33,144.89,57081300
07/02/2007,145.12,145.36,144.57,145.21,55669700
08/02/2007,144.78,145.12,144.27,145.02,70641000
